Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
-0.5,-20.829,62.361,0.376,0.039,0.572,    ,848.692,-64.733,330.707,160.816,-1.052,179.35,,161,20.829,61.285,,96.361
-0.206,-20.623,63.194,0.208,0.041,0.487,    ,848.691,-64.734,330.707,162.013,-1.038,179.328,,162,20.623,62.118,,97.194
-0.137,-19.074,62.204,0.214,0.059,0.438,    ,848.691,-64.734,330.707,163.231,-1.023,179.306,,163,19.074,61.128,,96.204
-0.549,-17.024,64.302,0.075,0.107,0.404,    ,848.691,-64.734,330.707,164.172,-1.012,179.289,,164,17.024,63.226,,98.302
-0.157,-16.465,63.646,0.107,0.096,0.401,    ,848.691,-64.735,330.707,165.283,-0.998,179.27,,165,16.465,62.57,,97.646
-0.226,-14.906,64.048,-0.057,0.109,0.382,    ,848.691,-64.735,330.707,166.459,-0.983,179.25,,166,14.906,62.972,,98.048
0.127,-15.063,64.577,-0.013,0.133,0.375,    ,848.69,-64.735,330.707,167.549,-0.968,179.231,,168,15.063,63.501,,98.577
-0.373,-12.494,64.254,-0.156,0.071,0.331,    ,848.69,-64.736,330.706,168.639,-0.953,179.213,,169,12.494,63.178,,98.254
-0.402,-12.798,64.656,-0.163,0.068,0.285,    ,848.69,-64.736,330.706,169.729,-0.938,179.195,,170,12.798,63.58,,98.656
-0.216,-10.679,65.381,-0.261,0.127,0.214,    ,848.69,-64.737,330.706,170.841,-0.923,179.177,,171,10.679,64.305,,99.381
-0.481,-9.424,66.068,-0.319,0.169,0.085,    ,848.69,-64.737,330.706,171.439,-0.914,179.167,,171,9.424,64.992,,100.068
-0.108,-8.591,64.479,-0.38,0.087,0.196,    ,848.69,-64.737,330.706,172.636,-0.896,179.148,,173,8.591,63.403,,98.479
-0.343,-7.326,66.999,-0.505,0.175,0.075,    ,848.69,-64.737,330.706,173.833,-0.878,179.13,,174,7.326,65.923,,100.999
-0.245,-6.394,66.127,-0.476,0.154,0.058,    ,848.69,-64.738,330.706,175.03,-0.86,179.112,,175,6.394,65.051,,100.127
0.431,-5.668,65.322,-0.532,0.084,0.151,    ,848.689,-64.738,330.706,176.227,-0.841,179.094,,176,5.668,64.246,,99.322
