Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
-0.863,-23.909,26.988,0.533,0.035,0.533,    ,848.692,-64.732,330.707,157.331,-1.089,179.415,,157,23.909,59.912
-1.04,-22.899,26.89,0.461,0.02,0.605,    ,848.692,-64.732,330.707,158.4,-1.078,179.395,,158,22.899,59.814
-0.304,-21.977,28.841,0.377,0.126,0.541,    ,848.692,-64.733,330.707,159.618,-1.065,179.372,,160,21.977,61.765
-0.5,-20.829,28.361,0.376,0.039,0.572,    ,848.692,-64.733,330.707,160.816,-1.052,179.35,,161,20.829,61.285
-0.206,-20.623,29.194,0.208,0.041,0.487,    ,848.691,-64.734,330.707,162.013,-1.038,179.328,,162,20.623,62.118
-0.137,-19.074,28.204,0.214,0.059,0.438,    ,848.691,-64.734,330.707,163.231,-1.023,179.306,,163,19.074,61.128
-0.549,-17.024,30.302,0.075,0.107,0.404,    ,848.691,-64.734,330.707,164.172,-1.012,179.289,,164,17.024,63.226
-0.157,-16.465,29.646,0.107,0.096,0.401,    ,848.691,-64.735,330.707,165.283,-0.998,179.27,,165,16.465,62.57
-0.226,-14.906,30.048,-0.057,0.109,0.382,    ,848.691,-64.735,330.707,166.459,-0.983,179.25,,166,14.906,62.972
0.127,-15.063,30.577,-0.013,0.133,0.375,    ,848.69,-64.735,330.707,167.549,-0.968,179.231,,168,15.063,63.501
-0.373,-12.494,30.254,-0.156,0.071,0.331,    ,848.69,-64.736,330.706,168.639,-0.953,179.213,,169,12.494,63.178
-0.402,-12.798,30.656,-0.163,0.068,0.285,    ,848.69,-64.736,330.706,169.729,-0.938,179.195,,170,12.798,63.58
-0.216,-10.679,31.381,-0.261,0.127,0.214,    ,848.69,-64.737,330.706,170.841,-0.923,179.177,,171,10.679,64.305
-0.481,-9.424,32.068,-0.319,0.169,0.085,    ,848.69,-64.737,330.706,171.439,-0.914,179.167,,171,9.424,64.992
-0.108,-8.591,30.479,-0.38,0.087,0.196,    ,848.69,-64.737,330.706,172.636,-0.896,179.148,,173,8.591,63.403
-0.343,-7.326,32.999,-0.505,0.175,0.075,    ,848.69,-64.737,330.706,173.833,-0.878,179.13,,174,7.326,65.923
-0.245,-6.394,32.127,-0.476,0.154,0.058,    ,848.69,-64.738,330.706,175.03,-0.86,179.112,,175,6.394,65.051
0.431,-5.668,31.322,-0.532,0.084,0.151,    ,848.689,-64.738,330.706,176.227,-0.841,179.094,,176,5.668,64.246
0.118,-3.109,33.245,-0.755,0.12,0.066,    ,848.689,-64.739,330.706,177.403,-0.823,179.077,,177,3.109,66.169
0.814,-2.844,32.705,-0.751,0.183,0.066,    ,848.689,-64.739,330.706,178.621,-0.803,179.06,,179,2.844,65.629
-0.01,-1.471,31.744,-0.78,0.113,-0.07,    ,848.689,-64.739,330.706,179.818,-0.783,179.043,,180,1.471,64.668
0.412,-0.304,32.656,-0.841,0.117,-0.012,    ,848.689,-64.74,330.706,-179.07,-0.764,179.028,,-179,0.304,65.58
0.255,1.245,31.705,-0.871,0.075,-0.083,    ,848.689,-64.74,330.706,-178.002,-0.746,179.014,,-178,1.245,64.629
0.137,1.804,31.381,-0.884,0.119,-0.129,    ,848.689,-64.741,330.706,-176.89,-0.727,179,,-177,1.804,64.305
0.706,3.119,32.627,-0.891,0.123,-0.191,    ,848.689,-64.741,330.706,-175.715,-0.706,178.985,,-176,3.119,65.551
0.735,3.609,32.136,-0.953,0.089,-0.15,    ,848.689,-64.741,330.706,-175.095,-0.695,178.978,,-175,3.609,65.06
0.284,5.698,31.322,-1.058,0.085,-0.216,    ,848.689,-64.742,330.706,-173.407,-0.665,178.958,,-173,5.698,64.246
0.343,7.218,32.686,-1.182,0.119,-0.339,    ,848.689,-64.742,330.706,-172.915,-0.656,178.952,,-173,7.218,65.61
