Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-0.088,-56.957,-7.371,3.856,-0.886,1.761,    ,848.718,-64.810,296.052,110.549,-1.825,1.175
1.314,-57.614,-6.910,3.888,-0.933,1.811,    ,848.718,-64.810,296.052,111.464,-1.844,1.146
-0.235,-56.643,-5.626,3.764,-0.910,1.754,    ,848.717,-64.810,296.052,112.379,-1.862,1.116
-0.726,-54.927,-4.606,3.642,-1.081,1.757,    ,848.717,-64.810,296.051,113.293,-1.879,1.086
0.520,-55.594,-4.694,3.683,-0.886,1.796,    ,848.717,-64.810,296.051,114.125,-1.895,1.059
-0.745,-55.251,-2.282,3.424,-0.879,1.657,    ,848.717,-64.810,296.051,115.073,-1.912,1.027
0.196,-55.006,-1.085,3.449,-0.919,1.686,    ,848.717,-64.810,296.051,115.988,-1.928,0.997
-0.186,-54.760,-0.310,3.427,-0.797,1.741,    ,848.717,-64.810,296.051,116.853,-1.943,0.967
0.902,-54.250,-0.261,3.366,-0.896,1.769,    ,848.717,-64.810,296.051,117.302,-1.951,0.952
0.490,-54.633,0.582,3.242,-0.859,1.787,    ,848.717,-64.810,296.051,118.233,-1.966,0.920
-0.932,-54.094,1.092,3.101,-0.756,1.599,    ,848.717,-64.810,296.050,119.148,-1.980,0.889
0.196,-52.269,2.533,3.072,-0.711,1.743,    ,848.717,-64.809,296.050,120.063,-1.994,0.857
0.167,-52.544,5.377,3.008,-0.729,1.775,    ,848.717,-64.809,296.050,120.978,-2.008,0.825
-0.039,-51.916,5.426,2.957,-0.754,1.691,    ,848.717,-64.809,296.050,121.876,-2.020,0.793
0.314,-51.867,4.044,2.865,-0.669,1.723,    ,848.717,-64.809,296.050,122.708,-2.031,0.764
0.049,-51.416,6.162,2.750,-0.759,1.506,    ,848.717,-64.809,296.050,123.639,-2.044,0.731
-0.128,-50.808,7.760,2.587,-0.635,1.544,    ,848.717,-64.809,296.050,124.571,-2.055,0.698
0.951,-49.926,8.996,2.618,-0.595,1.657,    ,848.717,-64.809,296.050,125.452,-2.066,0.666
-0.255,-49.514,8.751,2.632,-0.594,1.450,    ,848.716,-64.809,296.049,126.367,-2.076,0.633
-0.186,-49.396,8.937,2.488,-0.634,1.585,    ,848.716,-64.809,296.049,126.833,-2.081,0.616
-0.637,-48.896,9.261,2.434,-0.614,1.521,    ,848.716,-64.809,296.049,127.781,-2.091,0.581
-0.353,-48.229,11.369,2.367,-0.587,1.541,    ,848.716,-64.809,296.049,128.696,-2.100,0.548
-0.745,-47.582,12.889,2.202,-0.519,1.502,    ,848.716,-64.809,296.049,129.628,-2.109,0.514
-0.892,-46.788,13.301,2.135,-0.441,1.462,    ,848.716,-64.809,296.049,130.559,-2.117,0.479
-0.157,-46.366,12.144,2.170,-0.478,1.406,    ,848.716,-64.809,296.049,131.491,-2.124,0.445
